"t","age","educ","marr","black","hisp","nodegree","re74","re75","re78","age2","educ2","re742","re752","blacku74"
0,47,12,0,0,0,0,0,0,0,2209,144,0,0,0
0,50,12,1,1,0,0,0,0,0,2500,144,0,0,1
0,44,12,0,0,0,0,0,0,0,1936,144,0,0,0
0,28,12,1,1,0,0,0,0,0,784,144,0,0,1
0,54,12,1,0,0,0,0,0,0,2916,144,0,0,0
0,55,12,1,0,1,0,0,0,0,3025,144,0,0,0
0,47,12,1,0,0,0,0,0,0,2209,144,0,0,0
0,25,12,0,1,0,0,0,0,0,625,144,0,0,1
0,44,12,1,0,0,0,0,0,0,1936,144,0,0,0
0,50,12,1,1,0,0,0,0,0,2500,144,0,0,1
0,23,12,0,1,0,0,0,0,0.472872,529,144,0,0,1
0,49,14,1,0,0,0,0,0,0,2401,196,0,0,0
0,55,14,1,0,0,0,0,0,0,3025,196,0,0,0
0,34,14,1,1,0,0,0,0,0,1156,196,0,0,1
0,34,16,1,0,0,0,0,0,1.18218,1156,256,0,0,0
0,55,13,1,0,1,0,0,0,0,3025,169,0,0,0
0,52,12,1,0,0,0,0,0,0,2704,144,0,0,0
0,52,15,1,0,0,0,0,0,0,2704,225,0,0,0
0,30,16,1,0,0,0,0,0,0,900,256,0,0,0
0,21,12,0,0,0,0,0,0,0,441,144,0,0,0
0,30,17,0,0,0,0,0,0,0,900,289,0,0,0
0,44,12,1,0,0,0,0,0,0,1936,144,0,0,0
0,46,12,0,0,0,0,0,0,0,2116,144,0,0,0
0,53,17,1,0,0,0,0,0,0,2809,289,0,0,0
0,26,16,0,0,0,0,0,0,0.901413,676,256,0,0,0
0,49,12,1,0,0,0,0,0,1.32995,2401,144,0,0,0
0,39,15,1,0,0,0,0,0,0.192104,1521,225,0,0,0
0,26,17,1,0,0,0,0,0,1.18218,676,289,0,0,0
0,32,16,1,0,0,0,0,0,0,1024,256,0,0,0
0,34,12,1,0,0,0,0,0,0,1156,144,0,0,0
0,31,14,1,0,0,0,0,0,0,961,196,0,0,0
0,39,17,1,0,1,0,0,0,0.886636,1521,289,0,0,0
0,40,17,1,0,0,0,0,0,0,1600,289,0,0,0
0,31,12,1,0,0,0,0,0,0,961,144,0,0,0
