"price","height","width","signed","picture","house"
3.99378,21.3,25.6,1,1,1
8.8,31.9,25.6,1,2,2
0.131694,6.9,15.9,0,3,3
2.0375,25.7,32,1,4,2
1.4875,25.7,32,1,4,2
1.87,25.6,31.9,1,4,1
5.2825,25.5,35.6,1,5,1
5.06575,26,34.3,1,5,2
1.375,25.6,36.2,1,5,2
2.53,25.6,36.4,1,6,2
3.7425,25.6,36.4,1,6,2
0.364343,25.6,36.2,1,7,2
2.72387,31.9,39.4,1,8,2
3.52,23.6,31.9,1,9,1
0.4975,19.5,25,1,10,2
9.35,32.7,26.8,1,11,1
1.2195,25.5,36,1,12,2
0.407,25.6,39.4,1,12,2
3.71339,25.6,36.2,1,13,3
5.296406,25.8,21.5,1,14,2
2.862,21.4,28.9,1,15,2
4.18,26,32.5,1,16,1
2.48075,26,32.5,1,16,2
0.237068,50,14.6,0,17,2
0.527446,22.7,28.1,1,18,1
33.013504,35,39.4,1,19,2
0.035549,37.4,39.4,0,20,3
0.495,32.1,23.5,1,21,1
1.078,32.1,23.5,1,21,1
0.4315,25.7,36.4,0,22,2
3.48,25.7,36.5,1,23,2
0.4645,21.5,25.9,1,24,1
1.65,25.6,31.9,1,25,1
4.488,28.7,36.2,1,26,2
0.1565,23.7,23.7,0,27,2
0.191346,23.6,23.6,0,27,2
1.216,29.3,29.3,1,28,1
0.7975,32,32.6,1,29,2
1.21,25.7,32,1,30,1
0.699516,21.3,25.6,1,31,2
0.762509,25.6,31.9,1,32,2
0.760486,23.9,31.5,1,33,1
0.8825,23.6,28.7,1,34,1
3.74,32.3,23.6,1,35,2
0.219005,19.7,22.4,0,36,2
1.39062,23.6,31.5,1,37,2
2.8695,23.6,28,1,38,1
1.8725,21.3,25.8,1,39,2
0.715,21.3,25.8,1,39,1
2.31575,18.1,15,1,40,2
5.97919,51.6,38.2,0,41,1
1.133311,21.7,25.6,1,42,1
9.0225,24.4,31.5,1,43,1
0.996,27.2,36.5,1,44,1
0.762774,27.2,36.5,1,44,1
0.996,36.3,28.9,1,45,1
3.559111,26,36.5,1,46,1
0.9925,25.7,31.7,0,47,1
3.5225,25.6,31.9,1,48,1
0.33,25.8,32.1,0,49,2
3.9625,25.5,31.7,1,50,1
4.00037,28.7,39.4,1,51,1
0.77,26,31.9,1,52,2
1.062026,23.6,31.9,1,53,1
0.275,22.9,30.7,1,54,1
0.792,23.6,29.1,1,55,2
0.121,31.9,23.4,1,56,1
1.403601,51.2,35,1,57,1
2.0375,21.1,24.2,1,58,1
3.502784,21.1,24.2,1,58,1
1.094111,25.6,39.4,0,59,2
0.2665,46.6,14.5,0,60,2
0.605,46.7,14.6,0,60,2
0.77575,23.5,32,1,61,2
0.736201,23,32,1,61,2
6.1,51.8,34.8,1,62,1
