"comp","dale","year","hexp","hc3","small","country","groupti","oecd","gini","geff","voice","tropics","popden","pubthe","gdpc"
76.4675,63.4349,1997,344.017,8.4766,0,1,1,0,0.381411,0.120032,0.582008,1,81.075,76.7,4648.89
90.9845,72.4934,1997,1213.6,7.32606,0,2,1,0,0.285139,0.510308,0.615803,0,136.315,86.7,16181.3
52.1296,37.6295,1997,28.2885,1.35877,0,3,1,0,0.334725,-1.233,-1.616,0,38.8894,40.6,884.016
52.2827,37.9282,1997,47.1741,2.2486,0,4,1,0,0.444238,-1.39,-1.003,1,936.081,59.6,1310.39
76.7083,60.1735,1997,63.5321,4.88903,0,5,1,0,0.441193,-0.653,-0.008,0,115.956,77.7,1815.2
81.618,65.0447,1993,811.29,4.6968,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
81.8454,65.2805,1994,809.039,4.77231,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.0729,65.5162,1995,819.578,4.83275,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.3004,65.7519,1996,840.019,4.89879,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.528,65.9875,1997,818.348,4.97681,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
80.7623,65.9324,1993,750.993,8.44267,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
80.9625,66.1552,1994,781.429,8.54983,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.1626,66.3781,1995,722.018,8.65848,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.3626,66.6009,1996,793.498,8.71552,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.5624,66.8238,1997,820.766,8.77134,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
75.5772,65.3393,1993,88.6651,7.86115,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
75.6581,65.4513,1994,31.7157,7.9387,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
75.836,65.6987,1995,139.654,8.01488,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
76.1854,66.1887,1996,148.316,8.08965,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
76.6843,66.8975,1997,152.893,8.16303,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
77.8544,59.1857,1997,596.454,7.19482,0,9,1,0,0.474325,0.396842,0.635653,1,143.361,57.3,9319.59
90.5285,71.2022,1993,1500.58,10.421,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
90.7669,71.4207,1994,1537.45,10.4307,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
91.0056,71.6393,1995,1578.38,10.44,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
