"yearid","team","avgsalry","allstars","attend","wins","ti"
1997,1,1.00437,1,1976886,84,5
1998,1,1.214147,2,2376783,85,5
1999,1,1.384704,1,2324943,69,5
2000,1,1.715472,2,2170233,81,5
2001,1,1.584506,2,2248722,75,5
1998,2,0.898528,1,2881656,64,4
1999,2,2.020706,4,2731239,99,4
2000,2,2.893851,2,2681505,85,4
2001,2,3.038679,3,2655747,92,4
1985,3,0.673045,1,1688607,65,17
1986,3,0.589751,1,1628667,72,17
1987,3,0.517018,2,1574154,69,17
1988,3,0.438903,1,1516077,54,17
1989,3,0.370411,1,1497933,63,17
1990,3,0.454859,1,1479627,64,17
1991,3,0.73614,1,2036097,93,17
1992,3,1.116946,4,2606742,98,17
1993,3,1.261861,5,3411882,104,17
1994,3,1.646117,3,3363363,96,17
1995,3,1.628808,2,2573532,101,17
1996,3,1.656617,6,2650401,96,17
1997,3,1.686403,7,2896398,100,17
1998,3,1.912063,6,3030372,105,17
1999,3,2.522069,2,2901015,103,17
2000,3,2.817928,5,2875257,94,17
2001,3,2.965683,2,2564379,87,17
1985,4,0.525487,2,1973808,83,17
1986,4,0.448319,3,1855548,73,17
1987,4,0.463342,2,1862595,67,17
1988,4,0.501188,1,2313846,54,17
1989,4,0.365377,2,2291004,86,17
1990,4,0.261624,2,2243619,76,17
1991,4,0.565129,1,2099844,67,17
1992,4,0.720626,3,2878983,88,17
1993,4,0.909266,2,2918916,85,17
1994,4,1.253218,3,3007854,91,17
1995,4,1.187636,1,2729619,79,17
1996,4,1.702822,3,2888541,87,17
1997,4,2.017807,4,2991006,98,17
1998,4,2.411854,3,2973672,79,17
1999,4,2.303025,4,2822364,77,17
2000,4,2.808532,2,2655828,74,17
2001,4,2.331019,1,2719818,63,17
1985,5,0.435902,3,1793907,80,17
1986,5,0.496629,4,2220129,95,17
1987,5,0.676278,3,2115477,77,17
1988,5,0.579004,3,2224503,88,17
1989,5,0.672375,2,2455029,82,17
1990,5,0.642448,3,2455677,87,17
1991,5,1.17225,3,2453571,84,17
1992,5,1.406793,2,2414529,73,17
1993,5,1.197438,1,2484027,80,17
1994,5,1.261969,1,2389176,76,17
1995,5,0.877176,2,2308419,96,17
1996,5,1.177597,1,2215593,85,17
1997,5,1.28114,1,2198907,77,17
1998,5,1.719909,3,2393064,92,17
1999,5,2.048306,3,2429838,93,17
2000,5,2.598011,4,2555307,85,17
2001,5,3.43862,1,2660688,82,17
1985,6,0.515282,1,2182950,90,12
1986,6,0.497492,2,2170476,92,12
1987,6,0.475685,1,2290842,75,12
1988,6,0.426692,1,2106648,75,12
1989,6,0.580686,2,2308095,91,12
1990,6,0.620571,2,2300562,80,12
1991,6,1.066452,2,2456568,81,12
1992,6,1.158311,1,1848582,71,12
1993,6,0.893385,1,2176632,70,12
1994,6,0.786132,1,2079027,66,12
1995,6,0.946157,4,2022489,87,12
1996,6,0.776703,2,1884789,70,12
1985,7,0.468866,2,1753083,84,17
1986,7,0.336091,1,1567674,71,17
1987,7,0.531745,1,1534464,76,17
1988,7,0.26625,1,1551393,71,17
1989,7,0.2996,1,1574640,69,17
1990,7,0.306177,2,2113533,93,17
1991,7,0.604274,3,2674134,86,17
1992,7,1.005361,2,2450655,86,17
1993,7,1.280521,2,2578392,93,17
1994,7,1.306128,2,2526066,96,17
1995,7,1.341751,1,1914597,75,17
1996,7,1.561707,2,1910709,85,17
1997,7,1.603889,2,2064366,80,17
1998,7,1.161667,1,1826955,79,17
1999,7,0.800625,1,1829385,75,17
2000,7,1.073569,3,2185947,94,17
2001,7,2.431617,1,1987740,82,17
1985,8,0.577405,1,2208384,76,17
1986,8,0.555102,2,1818126,70,17
1987,8,0.550308,4,2157678,76,17
1988,8,0.524768,6,2085831,76,17
1989,8,0.4445,4,2390391,92,17
1990,8,0.439484,3,2207007,76,17
1991,8,0.927027,3,1872234,77,17
1992,8,1.065346,2,2131596,77,17
1993,8,1.230833,2,2598561,83,17
1994,8,1.170559,1,2656800,70,17
1995,8,0.922057,3,2177685,82,17
1996,8,1.029094,1,2240460,75,17
1997,8,1.317354,1,2283876,68,17
1998,8,1.639935,1,2746305,89,17
1999,8,1.684946,1,2807217,67,17
2000,8,2.017978,1,2777166,64,17
2001,8,2.396883,2,2804301,87,17
1985,9,0.379996,2,1827441,88,17
1986,9,0.39688,2,1771470,86,17
1987,9,0.356981,3,2162700,84,17
1988,9,0.355536,3,2016090,87,17
1989,9,0.381793,3,2235519,75,17
1990,9,0.422647,5,2297565,91,17
1991,9,1.011744,4,2218104,74,17
1992,9,1.330796,2,2217699,90,17
1993,9,1.35999,2,2413719,73,17
1994,9,1.321349,2,2462886,92,17
1995,9,1.268961,4,2031966,95,17
1996,9,1.215038,1,2000133,81,17
1997,9,1.2442,2,1990251,75,17
1998,9,0.676618,1,1993005,76,17
1999,9,1.095573,3,2141073,95,17
2000,9,1.735822,3,2829249,84,17
2001,9,1.814296,1,2275938,65,17
1985,10,0.327583,1,1111563,59,17
1986,10,0.251919,2,1589301,83,17
1987,10,0.312888,1,1487646,61,17
1988,10,0.406205,1,1713636,77,17
1989,10,0.336833,2,1743525,73,17
1990,10,0.439,3,1639035,76,17
1991,10,0.587833,1,1731051,57,17
1992,10,0.267801,3,1724976,75,17
1993,10,0.464025,2,2199636,75,17
1994,10,0.871157,2,2775789,94,17
1995,10,1.083938,7,2717793,112,17
1996,10,1.55185,5,2871531,99,17
1997,10,1.832337,3,2825766,86,17
1998,10,1.842429,6,2907414,88,17
1999,10,1.920486,6,2961846,97,17
2000,10,2.918491,4,2966949,90,17
2001,10,3.105067,2,2795715,91,17
1993,11,0.313742,1,3593646,67,9
1994,11,0.702569,1,3486159,73,9
1995,11,0.948742,2,2919726,86,9
1996,11,1.296123,3,3021381,82,9
1997,11,1.451989,3,3064149,82,9
1998,11,1.682822,3,2972376,76,9
1999,11,1.821642,1,2877039,71,9
2000,11,2.182543,3,2783484,81,9
2001,11,2.75159,3,2833137,73,9
1985,12,0.517407,6,2149092,84,17
1986,12,0.456878,3,1860408,86,17
1987,12,0.527082,4,2040147,98,17
1988,12,0.559547,2,2164239,87,17
1989,12,0.542256,1,1854576,58,17
1990,12,0.533128,2,1814562,79,17
1991,12,0.953533,1,2028078,84,17
1992,12,0.975816,1,1874907,75,17
1993,12,1.23065,2,2179305,85,17
1994,12,1.336984,2,2103003,74,17
1995,12,1.122551,1,1721655,67,17
1996,12,0.732438,1,1621944,52,17
1997,12,0.595586,1,1793988,79,17
1998,12,0.687571,1,1805004,64,17
1999,12,1.073225,1,2107944,69,17
2000,12,2.157969,1,2350053,79,17
2001,12,1.90772,1,2065824,65,17
1993,13,0.568545,2,2880279,63,9
1994,13,0.584676,1,2634606,71,9
1995,13,0.662589,1,1936143,75,9
1996,13,0.943394,3,1953882,80,9
1997,13,1.619433,3,2264841,92,9
1998,13,1.033067,1,2079756,53,9
1999,13,0.585694,1,1763208,63,9
2000,13,0.709714,1,1765800,79,9
2001,13,1.153629,2,1637010,75,9
1985,14,0.499653,2,1415718,82,17
1986,14,0.411387,4,1776492,96,17
1987,14,0.450299,1,1907712,75,17
1988,14,0.472545,1,1921806,81,17
1989,14,0.556648,2,1940598,86,17
1990,14,0.59129,1,1592622,75,17
1991,14,0.517292,2,1619676,64,17
1992,14,0.513583,2,1580958,81,17
1993,14,1.041741,1,2251638,85,17
1994,14,1.003818,5,2296431,92,17
1995,14,0.949162,1,1715175,85,17
1996,14,0.918935,2,2005722,81,17
1997,14,1.121855,3,2081781,84,17
1998,14,1.324188,2,2343168,102,17
1999,14,1.716063,4,2338389,97,17
2000,14,1.899597,1,2751408,71,17
2001,14,2.164738,3,2626020,92,17
1985,15,0.42369,1,1945620,91,17
1986,15,0.465846,2,2169828,75,17
1987,15,0.438076,2,2284281,82,17
1988,15,0.559868,3,2123091,84,17
1989,15,0.691984,2,2295540,92,17
1990,15,0.66746,1,2169747,75,17
1991,15,1.253325,1,1900017,81,17
1992,15,1.210494,1,2043387,71,17
1993,15,1.256217,1,2164158,84,17
1994,15,1.501531,1,2143584,90,17
1995,15,0.738321,1,1658556,78,17
1996,15,0.614583,1,1773171,75,17
1997,15,0.936622,1,1901313,67,17
1998,15,0.945192,1,1896696,72,17
1999,15,0.708784,1,1872639,64,17
2000,15,0.836893,2,2000700,76,17
2001,15,1.265089,1,1883493,64,17
1985,16,0.476866,2,2602692,94,17
1986,16,0.466056,2,2562354,73,17
1987,16,0.488407,2,2462238,73,17
1988,16,0.561684,1,2568834,93,17
1989,16,0.679728,4,2591757,77,17
1990,16,0.609106,2,2564784,86,17
1991,16,1.093022,5,2919645,92,17
1992,16,1.54442,1,2338389,63,17
1993,16,1.229125,1,2914785,81,17
1994,16,1.225806,1,3089745,82,17
1995,16,1.061438,5,2637360,87,17
1996,16,1.104844,3,2569806,90,17
1997,16,1.512677,1,2978937,87,17
1998,16,1.435882,2,2741688,82,17
1999,16,2.378307,1,2859057,76,17
2000,16,3.381703,2,2855736,86,17
2001,16,3.762274,2,2849823,86,17
1985,17,0.303412,2,1776978,76,17
1986,17,0.397644,1,1600317,70,17
1987,17,0.710833,1,1981098,85,17
1988,17,0.541855,2,2505249,91,17
1989,17,0.607569,1,2148606,80,17
1990,17,0.405611,1,1880253,74,17
1991,17,0.97341,1,2315628,94,17
1992,17,1.000994,1,2378484,90,17
1993,17,0.855089,1,2177685,70,17
1994,17,0.94795,1,2217780,75,17
1995,17,0.790672,1,1514619,63,17
1996,17,0.700515,1,1725624,77,17
1997,17,1.099113,1,1755918,68,17
1998,17,0.997497,1,2071170,74,17
1999,17,1.355544,2,1817559,74,17
2000,17,1.140792,1,1966599,72,17
2001,17,1.567387,1,2573775,68,17
1985,18,0.5939,1,1473876,71,17
1986,18,0.35513,1,1522638,77,17
1987,18,0.254547,1,1954044,91,17
1988,18,0.381909,5,1932903,86,17
1989,18,0.402677,2,2096604,81,17
1990,18,0.53295,1,1978101,74,17
1991,18,1.005022,3,1851498,82,17
1992,18,1.148654,3,2015037,92,17
1993,18,0.721419,2,1985472,69,17
1994,18,0.7855,2,2094903,74,17
1995,18,0.508538,1,1621377,73,17
1996,18,0.639118,1,1701810,80,17
1997,18,0.695745,1,1816668,78,17
1998,18,0.963017,1,1665441,69,17
1999,18,0.733017,1,1741176,63,17
2000,18,0.635365,1,1696140,69,17
2001,18,0.893704,3,2028726,85,17
1985,19,0.473508,3,1686420,84,17
1986,19,0.346988,3,1535436,78,17
1987,19,0.289252,3,1931850,91,17
1988,19,0.384133,1,1709424,80,17
1989,19,0.493121,2,1965546,81,17
1990,19,0.535045,2,1684800,85,17
1991,19,0.631314,2,1603638,71,17
1992,19,0.586012,2,1470960,86,17
1993,19,0.484598,1,2117502,93,17
1994,19,0.682071,5,2257227,105,17
1995,19,0.374667,1,1717362,74,17
1996,19,0.524661,2,1924803,87,17
1997,19,0.622435,1,1925370,77,17
1998,19,0.32247,1,1614492,64,17
1999,19,0.511514,1,1541106,68,17
2000,19,1.137736,2,1573830,67,17
2001,19,1.134177,1,1555686,68,17
1985,20,0.71191,3,2181816,97,17
1986,20,0.660509,4,2231793,90,17
1987,20,0.488563,5,2439396,88,17
1988,20,0.648038,3,2637927,85,17
1989,20,0.552077,2,2362770,74,17
1990,20,0.633707,1,2105514,67,17
1991,20,0.976577,1,2122524,70,17
1992,20,1.137677,1,2079999,75,17
1993,20,1.291664,2,2511162,87,17
1994,20,1.528011,2,2396709,100,17
1995,20,1.437496,2,2101221,88,17
1996,20,1.593876,3,2240865,92,17
1997,20,2.14626,3,2613546,96,17
1998,20,2.087715,4,2797659,114,17
1999,20,2.99084,4,3126357,98,17
2000,20,3.297795,4,3071034,87,17
2001,20,3.622166,6,3060261,95,17
1985,21,0.515941,4,2376864,98,17
1986,21,0.549776,5,2471229,108,17
1987,21,0.553869,4,2675430,92,17
1988,21,0.610773,4,2836296,101,17
1989,21,0.710181,2,2713095,86,17
1990,21,0.678839,3,1986363,91,17
1991,21,1.253462,2,2258280,77,17
1992,21,1.715462,1,1952991,71,17
1993,21,1.301456,1,2288979,58,17
1994,21,0.998599,1,2129247,78,17
1995,21,0.675,1,1745307,77,17
1996,21,0.741803,2,1834569,70,17
1997,21,1.137154,2,2074572,87,17
1998,21,1.578121,2,2228553,87,17
1999,21,2.099745,1,2636793,96,17
2000,21,3.180391,3,2721762,93,17
2001,21,3.212911,2,2541861,81,17
1985,22,0.431362,1,1500525,76,17
1986,22,0.315465,1,1570509,75,17
1987,22,0.449263,2,1805571,81,17
1988,22,0.421304,5,2268972,104,17
1989,22,0.624523,5,2476494,98,17
1990,22,0.584927,5,2752461,103,17
1991,22,1.423045,5,2674620,84,17
1992,22,1.282344,3,2466207,96,17
1993,22,1.077238,1,2178414,68,17
1994,22,1.03553,1,2159460,72,17
1995,22,1.019979,2,1646649,75,17
1996,22,0.574135,1,1639278,77,17
1997,22,0.615859,1,1812780,64,17
1998,22,0.608657,1,1788642,74,17
1999,22,0.814394,1,1841697,86,17
2000,22,1.184123,3,2110779,91,17
2001,22,1.25225,1,2204334,102,17
1985,23,0.532893,2,1766853,75,17
1986,23,0.373876,2,1832544,86,17
