"cardhldr","default","age","acadmos","adepcnt","majordrg","minordrg","ownrent","income","selfempl","incper","exp_inc","spending","logspend"
0,0,27.25,4,0,0,0,0,1200,0,18000,0.0006667,NA,NA
0,0,40.8333321,111,3,0,0,1,4000,0,13500,0.0002222,NA,NA
1,0,37.6666679,54,3,0,0,1,3666.6666667,0,11300,0.0332699,121.9896773,4.8039364
1,0,42.5,60,3,0,0,1,2000,0,17250,0.0484268,96.8536213,4.5732008
1,0,21.333334,8,0,0,0,0,2916.6666667,0,35000,0.0165229,48.19167,3.8751862
1,0,20.833334,78,1,0,0,0,1750,0,11750,0.0313234,54.8159555,4.0039813
1,0,62.6666679,25,1,0,0,1,5250,0,36500,0.039269,206.1624667,5.3286645
1,0,20.333334,6,0,0,0,0,1833.3333333,0,47000,0.0491421,90.0938977,4.5008524
1,0,31.75,20,3,0,0,0,2919.3333333,0,8758,0.0100488,29.3358326,3.3788097
1,0,45.8333321,162,7,0,0,1,4916.6666667,0,7375,0.0940781,462.5508475,6.1367565
1,0,22.666666,38,1,0,1,0,2361,0,14166,0.0233715,55.1799993,4.0106006
1,0,33.25,34,3,0,0,0,1666.6666667,0,6050,0.0052169,8.6949036,2.1627371
1,0,23.75,34,0,0,0,0,1573.8333333,0,18886,0.0034978,5.5050002,1.7056568
1,0,34.9166679,72,1,1,0,1,2333.3333333,0,14000,0.0588668,137.355838,4.9225749
1,0,29.166666,61,2,0,0,1,5108.0833333,0,20432.3339844,0.0276514,141.2458331,4.9505019
0,0,22.75,154,1,0,0,1,1865,0,11190,0.0005362,NA,NA
1,1,26.416666,8,1,0,0,0,2416.6666667,0,14500,0.0417586,100.9166632,4.6142951
1,0,33.6666679,58,4,0,1,1,3750,0,9000,0.0041556,15.583334,2.746202
1,0,30.5,25,0,0,1,0,2116.6666667,0,25400,0.0652138,138.035844,4.9275134
1,0,36.0833321,12,3,0,0,1,3333.3333333,0,12100,0.0587909,195.9696909,5.27796
1,0,37.75,54,4,0,0,1,3666.6666667,0,8800,0.0355259,130.2616584,4.8695452
0,0,24.333334,6,2,0,0,1,1583.3333333,0,6333.3334961,0.0006316,NA,NA
